"","rank","song","singer","music_director","lyricist","movie","actors","year"
"1082",23,"Yeh raat, yeh barsaat,
  yeh tanhai ka aalam","MahendraKapoor,AshaBhosle","Ravi","HassanKamal","Awaam",NA,1987
"1083",24,"Ameer se hoga yañ ghareeb say hoga","SureshWadkar","AnuMalik","Sameer","InsaaniyatkeDushman",NA,1987
"1084",25,"Hamsafar, gham jo muhabbat mein","AnoopJalota","AnoopJalota","MuradLucknowi","Shohrat",NA,1987
"1085",26,"Ram! Ram! bol, Prabhu
  in ki aankhein khol","ShabbirKumar,KavitaKrishnamurthy, AlkaYagnik","LaxmikantPyarelal","VarmaMalik","Hukumat",NA,1987
"1086",27,"Main aaj bahut khush hooñ","AshaBhosle","UshaKhanna","SaawanKumar","Sansar",NA,1987
"1087",28,"Teri jawani kay charchey…Terey husn ka
  charcha ab to honay laga hai","MuhammadAziz,AshaBhosle","AnuMalik","Gulshan Bawra","Hawalaat",NA,1987
"1088",29,"Na tum ney kiya na main ney kiya
  hona tha pyar","LataMangeshkar","LaxmikantPyarelal","AnandBakshi","NacheMayuri",NA,1987
"1089",30,"Aankhein hain sharab, wallah-wallah, honth hain gulab","","","","",NA,1987
"1090",31,"Kharhi Gopiyañ yeh shikayat
  lâyeeñ","","AnoopJalota","","BhajanRath",NA,1987
"1091",32,"Jab pyar kiya, iqraar kiya ( pathar ke sanam kuch bol zara)","MuhammadAziz,AnuradhaPaudwal","LaxmikantPyarelal","MajroohSultanpuri","WatanKeRakhwale",NA,1987
"1092",33,"Terha-merha main, seedhe logon mein phans gaya","RemoFernandes","AnandMilind","","Jalwa",NA,1987
"1093",1,"(Zindagi ka naam)Kuchh
  bhi nahin rehta is duniya mein","UditNarayan","RajeshRoshan","Indeewar","Khudgarz",NA,1988
"1094",2,"Papa
  kehte hain badaa naam karega","AlkaYagnik,UditNarayan","AnandMilind","Majrooh","QayamatSeQayamatTak",NA,1988
"1095",3,"Tujhe itna
  pyaar karein","LataMangeshkar,ShabbirKumar","LaxmikantPyarelal","Sameer","KudratkaKanoon",NA,1988
"1096",4,"Naam saare
  mujhe bhool jaane lage","LataMangeshkar,MohdAzeez","LaxmikantPyarelal","AnandBakshi","Sindoor",NA,1988
"1097",5,"Julie
  Julie Johnny ka dil tujh pe
  aaya jo","AnuMalik","AnuMalik","Indeevar","JeeteHainShaanSe",NA,1988
"1098",6,"O yaara tu pyaaron
  se hai pyaara","KishoreKumar,Anupama","RajeshRoshan","FaaroqKaiser","Kaash",NA,1988
"1099",7,"Mein
  tera tota tu meri maina","KishoreKumar,SJanaki","BappiLahiri","Anjaan","PaapKiDuniya",NA,1988
"1100",8,"Angooli main angoothi, angoothi main nageena","LataMangeshkar,MohdAzeez","LaxmikantPyarelal","AnandBakshi","RamAwatar",NA,1988
"1101",9,"Janey do,
  janey do mujhe jaana hai (Kaun
  hai voh?)","LataMangeshkar, MohdAzeez","AmarUtpal","AnandBakshi","Shahenshah",NA,1988
"1102",10,"Mai
  say meena say na saqi say","MohdAzeez,SadhanaSargam","RajeshRoshan","Indeewar","Khudgarz",NA,1988
"1103",11,"Ai
  mere humsafar ik zara intezaar","AlkaYagnik,UditNarayan","AnandMilind","Majrooh","QayamatSeQayamatTak",NA,1988
"1104",12,"Ek do teen chaar paanch","AlkaYagnikAmitKumar","LaxmikantPyarelal","JavedAkhtar","Tezaab",NA,1988
"1105",13,"Yeh raat, yeh barsaat,
  yeh tanhai ka aalam","MahendraKapoor,AshaBhosle","Ravi","HassanKamal","Awaam",NA,1988
"1106",14,"Gazab ka
  hai din…...... mazaa aa raha hai","AlkaYagnik","Anand–Milind","Majrooh","QayamatSeQayamatTak",NA,1988
"1107",15,"Aaj phir
  tumpe pyaar aaya hai","Anuradha,PankajUdhas","Laxmikant–Pyarelal","AzeezQaisi","Dayavaan",NA,1988
"1108",16,"Dulhe raja dekh dulhaniya doli laayi hai","AshaBhosle,","UshaKhanna","SaawanKumar","PyaarKiJeet",NA,1988
"1109",17,"Jab pyar kiya, iqraar kiya (pathar ke sanam kuch
  bol zara)","MuhammadAziz,AnuradhaPaudwal","LaxmikantPyarelal","MajroohSultanpuri","WatanKeRakhwale",NA,1988
"1110",18,"Keh do ki tum ho meri
  warna","Anuradha,AmitKumar","LaxmikantPyarelal","JavedAkhtar","Tezaab",NA,1988
"1111",19,"Bandhan toote
  na saari zindagi","LataMangeshkar,ShabbirKumar,","BappiLahiri","Anjaan","PaapKiDuniya",NA,1988
"1112",20,"Main
  pyar ka pujari mujhe pyar chahiye","AshaBhosle, BappiLahiri","BappiLahiri","Indeewar","Hatya",NA,1988
"1113",21,"Barse re saawan kaampe mera man","SadhnaSargam,MohdAzeez","RajeshRoshan","Indeevar","Dariyadil",NA,1988
"1114",22,"Qasam kya
  hoti hai, qasam woh hoti
  hai","Asha,NitinMukesh","BappiLahiri","Indeevar","Kasam",NA,1988
"1115",23,"Patjhad saawan
  basant bahar","LataMangeshkar,SureshWadkar,MohdAzeez","LaxmikantPyarelal","AnandBakshi","Sindoor",NA,1988
"1116",24,"Mere
  pyaar ki umar ho itni
  sanam","LataMangeshkar,ManmohanSingh","UttamJagdish","VarmaMalik","Waaris",NA,1988
"1117",25,"Aaj maati
  sunaye kahani","MahendraKapoor","UttamJagdish","VermaMalik","Waaris",NA,1988
"1118",26,"Log kahte hain ki
  peela chand hai sabse hai","MohdAzeez,SadhnaSargam","RajeshRoshan","FaaroqKaiser","Khudgarz",NA,1988
"1119",27,"Akele hain
  to kya gam hai","AlkaYagnik,UditNarayan","AnandMilind","Majrooh","QayamatSeQayamatTak",NA,1988
"1120",28,"Meine bhi
  ek geet likha hai","ShabbirKumar","LaxmikantPyarelal","FarukKaiser","HamaraKhandaan",NA,1988
"1121",29,"Zindagi pyaar
  hai........pyaar bina yaar yanh","Asha,Shabbir,ShailenderSingh,","BappiLahiri","Anjaan","PaapKiDuniya",NA,1988
"1122",30,"Hanste hanste
  kat jaayen raste","SadhnaSargam,NitinMukesh","RajeshRoshan","Indeevar","KhoonBhariMaang",NA,1988
"1123",31,"Phool gulab
  ka, laakhon main hazaron main","Anuradha,MohdAzeez","LaxmikantPyarelal","Sameer","BiwiHoToAisi",NA,1988
"1124",32,"Mera kuchh
  saamaan tumhare paas pada hai","AshaBhosle","RDBurman","Gulzar","Ijaazat",NA,1988
"1125",33,"Log jahañ par rahte hain, us jagah ko woh","MohdAzeez,SureshWadkar,Kavita","LaxmikantPyarelal","AnandBakshi","PyaarKaMandir",NA,1988
"1126",1,"Ae
  ji o ji lo ji suno ji...my
  name is Lakhan","Munna MohammedAziz","LaxmikantPyarelal","AnandBakshi","RamLakhan",NA,1989
"1127",2,"Saajan mera us paar
  hai","LataMangeshkar","AnuMalik","Indeevar","GungaJamunaSaraswati",NA,1989
"1128",3,"Mere
  haathon mein nau nau choodiyan","LataMangeshkar","ShivHari","AnandBakshi","Chandni",NA,1989
"1129",4,"Kya
  karte thay saajna","AnuradhaPaudwal,UditNarayan ","AnandMilind","MajroohSultanpuri","LalDupattaMalmalKa",NA,1989
"1130",5,"Hum
  tumheiñ itna pyaar kareinge","Anuradha,MohdAzeez","LaxmikantPyarelal","AnandBakshi","BeesSaalBaad",NA,1989
"1131",6,"Oye oye.........tirchhi topi waale, babu
  bhole","SapnaMukherjee,AmitKumar","‘Kalyanji–Anandji’","AnandBakshi","Tridev",NA,1989
"1132",7,"Keh do ki tum meri ho
  varna","Anuradha,AmitKumar","LaxmikantPyarelal","JavedAkhtar","Tezaab",NA,1989
"1133",8,"Tere Lakhan ne bada dukh deena","LataMangeshkar","LaxmikantPyarelal","AnandBakshi","RamLakhan",NA,1989
"1134",9,"So
  gaya ye jahan, so gaya aasman","AlkaYagnik,ShabbirKumar,NitinMukesh,","LaxmikantPyarelal","JavedAkhtar","Tezaab",NA,1989
"1135",10,"Hawa hawa ae hawa khushboo luta de","HasanJahangir","‘MehboobAshraf’","","HawaHawa",NA,1989
"1136",11,"Mujhe tumse hain kitne
  gile, tum itne din","Anuradha,Manhar","LaxmikantPyarelal","AnandBakshi","RamLakhan",NA,1989
"1137",12,"Rang
  bhare baadal se, tere naino ke
  kaajal","JollyMukherjee,SriDevi","ShivHari","AnandBakshi","Chandni",NA,1989
"1138",13,"Tere hum
  ae sanam pyaar mein waada raha","Anuradha,KumarSanu","BabulBose","RavindraRawal","JeenaTeriGaliMein",NA,1989
"1139",14,"Jeena teri gali mein","Anuradha,SPBalsubramaniam","BabulBose","RavindraRawal","JeenaTeriGaliMein",NA,1989
"1140",15,"Sooni sooni ankhiyon mein jugnoo chamak
  uthe","Anuradha,SureshWadekar","AnandMilind","MajroohSultanpuri","LalDupattaMalmalKa",NA,1989
"1141",16,"Jeena hai pyaar mein
  jeena","VijayBenedict,","BappiLahiri","Anjaan","LoveLoveLove",NA,1989
"1142",17,"Dil deewana bin sajna ke maane na","LataMangeshkar,SPBalsubramaniam","RamLaxman","AsadBhopali","MainePyaarKiya",NA,1989
"1143",18,"Baahar hai problem, ghar mein hai problem","AmitabhBachhan","AnuMalik","Indeevar","Toofan",NA,1989
"1144",19,"Dil tera kisne toda","MohdAzeez","‘Laxmikant–Pyarelal’","AzeezQaisi","Dayavan",NA,1989
"1145",20,"Rama
  O Rama tu ney kaisi duniya","AmitKumar,JaishreeShivram","RahulDevBurman","AnandBakshi","RamaORama",NA,1989
"1146",21,"Chahe meri jaan tu
  le le","JollyMukherjee","‘Laxmikant–Pyarelal’","AzeezQaisi","Dayavan",NA,1989
"1147",22,"Padosan apni murghi ko
  rakhna sambhal","AmitabhBachhan","KalyanjiAnandji","JavedAkhtar","Jaadugar",NA,1989
"1148",23,"Ek ek ho jaayen
  phir ghar chale jaana","Kishore,PankajUdhas","AnuMalik","Indeevar","GungaJamunaSaraswati",NA,1989
"1149",24,"Babul
  ka ye ghar behna kuchh din ka","Alka,KishoreKumar","KalyanjiAnandji","Anjaan","Daata",NA,1989
"1150",1,"Gori
  haiñ kalaiyañ, tu laa-de mujhe
  hari- hari","LataMangeshkar,ShabbirKumar","BappiLahiri","Anjaan","AajKaArjun",NA,1990
"1151",2,"Terey hum
  hain sanam, pyar mein","AnuradhaPaudwal,KumarSanu","BabulBose","RavindraRawal","JeenaTeriGaliMein",NA,1990
"1152",3,"Kabootar
  ja ja ja
  kabootar ja","LataMangeshkar,SPBalsubramaniam","RamLaxman","AsadBhopali","MainePyaarKiya",NA,1990
"1153",4,"Mujhe neend na aaye
  mujhe chain na aaye","AnuradhaPaudwal,UditNarayan","AnandMilind","Sameer","Dil",NA,1990
"1154",5,"Aapko dekh ke dekh
  dekh ke raaz gaya yeh
  jaan","AmitKumar,SadhnaSargam,","RajeshRoshan","AnwarSaagar","KishenKanhaiya",NA,1990
"1155",6,"Jumma chumma de de, de de","KavitaKrishnamurthy,SudeshBhonsle","LaxmikantPyarelal","AnandBakshi","Hum",NA,1990
"1156",7,"Aaja shaam honay aayee
  mausam ne li angdaai","LataMangeshkar,SPBalsubramaniam","RamLaxman","DevKohli","MainePyaarKiya",NA,1990
"1157",8,"Kitne dino ke baad
  hai aayee sajna raat","AnuradhaPaudwal,MohdAzeez","AnandMilind","Sameer","AayeeMilanKiRaat",NA,1990
"1158",9,"Dil diwana bin sajna ke","LataMangeshkarSPBalsubramaniam","RamLaxman","AsadBhopali","MainePyaarKiya",NA,1990
"1159",10,"Jeena teri gali mein","AnuradhaPaudwal,SPBalsubramaniam","BabulBose","RavindraRawal","JeenaTeriGaliMein",NA,1990
"1160",11,"O
  Priya Priya kyon bhula diya","AnuradhaPaudwal,SureshWadekar","AnandMilind","Sameer","Dil",NA,1990
"1161",12,"Tutak tutak tutak tutiya
  I love you","AshaBhosleAmitKumar","BappiLahiri","SikanderBharti","GharKaChirag",NA,1990
"1162",13,"Lagi aaj sawan ki
  phir wo jhadi hai","AnupmaDeshpande,SureshWadekar","ShivHari","AnandBakshi","Chandni",NA,1990
"1163",14,"Jab
  se dekha tumko yara........ tum mere ho","AnupmaDeshpande,UditNarayan","AnandMilind","Majrooh","TumMereHo",NA,1990
"1164",15,"Nazar ke saamne jigar
  ke paas koi rehta ha","AnuradhaPaudwal,KumarSanu","NadeemShrawan","Sameer","Aashiqui",NA,1990
"1165",16,"Jaate ho pardes piya
  jaate hi khat likhna","AnuradhaPaudwal,NitinMukesh","BabulBose","NaqshLyallpuri, RavindraRawal","JeenaTeriGaliMain",NA,1990
"1166",17,"Jaane jigar jaane man mujhko hai teri
  qasam","AnuradhaPaudwal,KumarSanu","NadeemShrawan","Sameer","Aashiqui",NA,1990
"1167",18,"Tama
  tama loge, tama tama loge
  tama","BappiLahiri,AnuradhaPaudwal","‘BappiLahiri’","Anjaan","Thaanedar",NA,1990
"1168",19,"Maine
  duniya bhula doonga teri chaahat
  main","AnuradhaPaudwal,KumarSanu","NadeemShrawan","Sameer","Aashiqui",NA,1990
"1169",20,"Saanso ki zuroorat hai
  jaise zindagi ke liye","AnuradhaPaudwalKumarSanu","NadeemShrawan","Sameer","Aashiqui",NA,1990
"1170",21,"Ye
  jo halka halka suroor hai","KishoreKumar,AnuradhaPaudwal","Vedpal","SawanKumar","SautanKiBeti",NA,1990
"1171",22,"Na
  jaane kahan se aayee hai","KavitaKrishnamurthy,AmitKumar,","LaxmikantPyarelal","AnandBakshi","Chalbaaz",NA,1990
"1172",23,"Jab
  uska chehra mehkega...ek chaand ko","AnuradhaPaudwal,AmitKumar,","AnandMilind","SalahuddinParvez","YaadonKaMausam",NA,1990
"1173",24,"Kehna na tum ye kisi se","MohdAzeez,SalmaAgha","LaxmikantPyarelal","AnandBakshi","PatiPatniAurTawaif",NA,1990
"1174",25,"Maine
  tujhe khat likha o sajna","LataMangeshkar,SPBalsubramaniam","AnandMilind","Sameer","MeraPatiSirfMeraHai",NA,1990
"1175",26,"Muhabbat
  inayat karam dekhte hain","AnuradhaPaudwal,PankajUdhas","RajeshRoshan","IbrahimAshq","BahaarAaneTak",NA,1990
"1176",27,"Soot
  boot main aayaa Kanhaiya","AmitKumar,","RajeshRoshan","Indeevar","KishenKanhaiya",NA,1990
"1177",28,"Tera beemar mera dil,
  mera jeena hua mushkil","KavitaKrishnamurthy,MohdAzeez","LaxmikantPyarelal","AnandBakshi","Chalbaaz",NA,1990
"1178",29,"Krishna
  Krishna aaye Krishna","LataMangeshkar,NitinMukesh","RajeshRoshan","Indeevar","KishenKanhaiya",NA,1990
"1179",1,"Dekha hai
  pehli bar, saajan ki aankhon mein
  pyar","AlkaYagnik,SPBalsubramaniam","NadeemShrawan","Sameer","Saajan",NA,1991
"1180",2,"Muhabbat inaayat karam dekhte hain","AnuradhaPaudwal,PankajUdhas","RajeshRoshan","IbrahimAshq","BahaarAaneTak",NA,1991
"1181",3,"Kabhi tu
  chhaliya lagta hai","LataMangeshkar,SPBalsubramaniam","RamLaxman","RavindraRawal","PattharKePhool",NA,1991
"1182",4,"Dil hai
  ki manta nahin","AnuradhaPaudwal,KumarSanu","NadeemShrawan","FaizAnwar","DilHaiKiMantaNahin",NA,1991
"1183",5,"Saudaagar sauda kar dil
  de de dil lekar","KavitaKrishnamurthy,Manhar,Sukhvinder","LaxmikantPyarelal","AnandBakhshi","Saudagar",NA,1991
"1184",6,"Chudi mazaa
  na degi kangan maza na
  dega","LataMangeshkar,","MaheshKishore","SawanKumar","SanamBewafaa",NA,1991
"1185",7,"Main
  hoon khush rang Henna","LataMangeshkar","RavindraJain","RavindraJain","Henna",NA,1991
"1186",8,"Tune
  preet jo mujhse jodi","AnuradhaPaudwal,SureshWadekar","ArunPaudwal","Indeevar","MeeraKaMohan",NA,1991
"1187",9,"Ilu
  ilu/ ilu ka matlab I love you","KavitaKrishnamurthy,Manhar,Sukhvinder","LaxmikantPyarelal","AnandBakhshi","Saudagar",NA,1991
"1188",10,"Tumse jo dekhte hi pyaar hua","LataMangeshkar,SPBalsubramaniam","RamLaxman","NoorKaskar","PattharKePhool",NA,1991
"1189",11,"Jao tum chaahe jahan","AlkaYagnik,AmitKumar","LaxmikantPyarelal","JavedAkhtar","Narsimha",NA,1991
"1190",12,"Yara sili
  sili birha ki raat ka
  jalana","LataMangeshkar","HridayanathMangeshkar","Gulzar","Lekin",NA,1991
"1191",13,"Kâli teri
  choti hai","AnuradhaPaudwal,MangalSingh","RajeshRoshan","Indeewar","BahaarAaneTak",NA,1991
"1192",14,"Sun
  mahiya shukriya meherbaani","LataMangeshkar,SPBalsubramaniam","RamLaxman","DilipKTahir","100Days",NA,1991
"1193",15,"Bahut pyaar
  karte hain tumko sanam","AnuradhaPaudwalSPBalsubramaniam","NadeemShrawan","Sameer","Saajan",NA,1991
"1194",16,"Kaagaz qalam dawaat la","MohdAzeez,ShobhaJoshi","LaxmikantPyarelal","AnandBakhshi","Hum",NA,1991
"1195",17,"Ye
  dharti chand sitaare...tu jab jab","AnuradhaPaudwal,UditNarayan","AnandMilind","Sameer","Qurbaan",NA,1991
"1196",18,"Kaisa lagata
  hai, achha lagata hai","AnuradhaPaudwal,AmitKumar","AnandMilind","Sameer","Baaghi",NA,1991
"1197",19,"Tota tota
  sajan se kehna","LataMangeshkar,SPBalsubramaniam","BappiLahiri","Anjaan","FirstLoveLetter",NA,1991
"1198",20,"Imli ka
  boota béri ka ber","MohdAzeez,SudeshBhonsle","LaxmikantPyarelal","AnandBakhshi","Saudagar",NA,1991
"1199",21,"Anaardana anaardana","LataMangeshkar,","RavindraJain","RavindraJain","Henna",NA,1991
"1200",22,"Jab
  tak rahe dharti gagan...Meri jaan","UditNarayan,Poornima","RamLaxman","DevKohli","BaharonKiManzil",NA,1991
"1201",23,"Gori
  kab se hui jawaan banna leja","LataMangeshkar","BappiLahiri","Anjaan","PhoolBaneAngaray",NA,1991
"1202",24,"Aaj na
  chhodoonga tujhe dam damâ dam","AnuradhaPaudwal,UditNarayan","AnandMilind","Sameer","Dil",NA,1991
"1203",25,"Tu shaayar
  hai main teri shaayari","AlkaYagnik","NadeemShrawan","Sameer","Saajan",NA,1991
"1204",26,"Deewani deewani
  deewana tera ho gaya","LataMangeshkar,SPBalsubramaniam","BappiLahiri","Anjaan","FirstLoveLetter",NA,1991
"1205",27,"Tu pyaar
  hai kisi aur ka","AnuradhaPaudwal,KumarSanu","NadeemShrawan","Sameer","DilHaiKiMantaNanhi",NA,1991
"1206",28,"Saathiya tune kya kiya","ChitraKS,SPBalsubramaniam","AnandMilind","MajroohSultanpuri","Love",NA,1991
"1207",29,"Tumhe apna
  banane ki qasam khayee hai","AnuradhaPaudwal,KumarSanu","NadeemShrawan","Sameer","Sadak",NA,1991
"1208",1,"Maine
  pyaar tumhi se kiya hai","AnuradhaPaudwal,KumarSanu","NadeemShrawan","Sameer","PhoolAurKaante",NA,1992
"1209",2,"Koyal si
  teri boli","UditNarayan,AnuradhaPaudwal","AnandMilind","Sameer","Beta",NA,1992
"1210",3,"Aisi deewaangi
  dekhi nahin kabhi","AlkaYagnik,VinodRathod","NadeemShrawan","Sameer","Deewana",NA,1992
"1211",4,"Tu mujhe
  qubool mein tujhe qubool","MohammedAziz,KavitaKrishnamurthy","LaxmikantPyarelal","AnandBakshi","KhudaGawah",NA,1992
"1212",5,"Tumhein apna
  banane ki qasam khaayee hai","AnuradhaPaudwal,KumarSanu","NadeemShrawan","Sameer","Sadak",NA,1992
"1213",6,"Teri
  ummeed tera intezaar karte hain","KumarSanu,SadhnaSargam","NadeemShrawan","Sameer","Deewana",NA,1992
"1214",7,"Saathiya tune kya kiya","ChitraKS,SPBalsubramaniam","AnandMilind","MajroohSultanpuri","Love",NA,1992
"1215",8,"Vaada raha
  sanam honge juda na hum","AlkaYagnik,Abhijeet","JatinLalit","AnwarSaagar","Khiladi",NA,1992
"1216",9,"Aake teri
  baahon mein har shaam lage
  sindoori","LataMangeshkar,SPBalsubramaniam","AnandMilind","Sameer","Vansh",NA,1992
"1217",10,"Mere
  pyaar mein such such kaho...kabhi
  bhoola","AlkaYagnik,MukulAgrawal","NadeemShrawan","Sameer","SapneSaajanKe",NA,1992
"1218",11,"Dil jigar
  nazar kya hai main to tere liye","KumarSanu","NadeemShrawan","NawabAarzoo","DilKaKyaKusoor",NA,1992
"1219",12,"Tumse milne
  ko dil karta hai re baba","AnuradhaPaudwal,KumarSanu","NadeemShrawan","Sameer","PhoolAurKaante",NA,1992
"1220",13,"Hum
  tere bin kahin reh nahin paate","AnuradhaPaudwal,ManharUdhas","NadeemShrawan","Sameer","Sadak",NA,1992
"1221",14,"Pee
  pee pee piya, jee jee
  jee jiya, piya","AlkaYagnik,UditNarayan","LaxmikantPyarelal","AnandBakshi","PremDeewaane",NA,1992
"1222",15,"Kaun ho
  tum jo dil main samaaye jaate ho","Abhijeet,KavitaKrishnamurthy","ShyamSurendra","GauharKanpuri","Mashooq",NA,1992
"1223",16,"Kabhi main kahoon kabhi tum kaho","LataMangeshkar,AHariharan","ShivHari","AnandBakshi","Lamhe",NA,1992
"1224",17,"Tu tu
  tu tu tara,
  todo na dil hamara","AnuradhaPaudwal,UditNarayan","AnandMilind","Sameer","BolRadhaBol",NA,1992
"1225",18,"Dheere dheere
  pyaar ko badhana hai","AlkaYagnik,KumarSanu","NadeemShrawan","Sameer","PhoolAurKaante",NA,1992
"1226",19,"Tota mere tota mein to teri ho gayee","Abhijeet,SadhnaSargam","AnandMilind","Sameer","AajKaGundaraaj",NA,1992
"1227",20,"Dhak dhak
  karne laga, re mora jiyara","AnuradhaPaudwal,UditNarayan","AnandMilind","Sameer","Beta",NA,1992
"1228",21,"Deewani deewani
  deewana tera ho gaya","LataMangeshkar,SPBalsubramaniam","BappiLahiri","Anjaan","FirstLoveLetter",NA,1992
"1229",22,"Kal college band ho jaayega","SadhnaSargam,UditNarayan","NadeemShrawan","NawabAarzoo","JaanTereNaam",NA,1992
"1230",23,"Jab
  na mana dil deewana.........khat maine","AshaBhosle,KumarSanu","NadeemShrawan","AnwarSaagar","Bekhudi",NA,1992
"1231",24,"Saat samunder
  paar mein tere peechhe peechhe","SadhnaSargam","VijuShah","AnandBakshi","Vishwatma",NA,1992
"1232",25,"Tu roop
  ki rani/ tu choron ka raja","KavitaKrishnamurthy,AmitKumar","LaxmikantPyarelal","JavedAkhtar","RoopKiRaniChoronKaRaja",NA,1992
"1233",26,"Bol Radha
  bol tune ye kya kiya","AnuradhaPaudwal,UditNarayan","AnandMilind","Sameer","BolRadhaBol",NA,1992
"1234",1,"Choli
  ke peechhe kya hai, chunri
  ke neeche","IlaArun,AlkaYagnik","LaxmikantPyarelal","AnandBakshi","Khalnayak",NA,1993
"1235",2,"Tu
  tu tu, tu tu tara,
  todo na dil hamara","Poornima,UditNarayan,","AnandMilind","Sameer","BolRadhaBol",NA,1993
"1236",3,"Baazigar
  O Baazigar (Mera dil tha akela)","AlkaYagnik,KumarSanu","AnuMalik","NawabAarzoo","Baazigar",NA,1993
"1237",4,"Aankhon
  mein neendein na dil main qaraar","AlkaYagnik,KumarSanu","AnandMilind","Sameer","Sanam",NA,1993
"1238",5,"Aaj
  humne dil ka har qissa
  tamaam kar diya","AlkaYagnik,KumarSanu","AnuMalik","QateelShifai","Sir",NA,1993
"1239",6,"Choom
  loon hoñth tere dil ki yehi
  khwahish","AlkaYagnik,KumarSanu","NadeemShrawan","NoorKaskar","ShrimaanAashique",NA,1993
"1240",7,"Chehra
  kya dekhte ho dil mein
  utaar kar","AshaBhosle,KumarSanu","NadeemShrawan","MadanPâl","Salaami",NA,1993
"1241",8,"Tere
  dar pe sanam chale aaye","KumarSanu","AnuMalik","QateelShifai","PhirTeriKahaniYaadAayee",NA,1993
"1242",9,"Teri
  muhabbat ne dil main muqaam kar diya","AlkaYagnik,KumarSanu","NadeemShrawan","Sameer","Rang",NA,1993
"1243",10,"Is jahan ki naheeñ
  hain tumhari aankhein","LataMangeshkar,NitinMukesh","RajeshRoshan","Indeevar","KingUncle",NA,1993
"1244",11,"Bol
  Radha bol tune ye kya kiya","AnuradhaPaudwal,UditNarayan,","AnandMilind","Sameer","BolRadhaBol",NA,1993
"1245",12,"O laal dupatte wali tera naam
  to bata","AlkaYagnik,KumarSanu,KavitaKrishnamurthy","BappiLahiri","Indeevar","Aankhein",NA,1993
"1246",13,"Lena
  hai lena hai (Kya roop hai tera)","BaliBrahmbhatt,KavitaKrishnamurthy","BappiLahiri","KKVerma","BombBlast",NA,1993
"1247",14,"Ghoonghat
  ki aad se dilbar ka deedar
  adhura","AlkaYagnik,KumarSanu","NadeemShrawan","Sameer","HumHainRahiPyarKe",NA,1993
"1248",15,"Goriya
  re goriya re mera dil chura ke
  leja","LataMangeshkar,JollyMukherjee","DilipSenSameerSen","Sameer","Aaina",NA,1993
"1249",16,"Naayak
  nahin khalnaayak hai tu","KavitaKrishnamurthy,VinodRathod,","LaxmikantPyarelal","AnandBakshi","Khalnayak",NA,1993
"1250",17,"Paayalia
  geet sunaye","AlkaYagnik,KumarSanu,","NadeemShrawan","Sameer","Deewana",NA,1993
"1251",18,"Kam
  se kam itna kaha hota","AlkaYagnik,MukulAgrawal","NadeemShrawan","Sameer","DilTeraAashique",NA,1993
"1252",19,"Ishq
  mein mere Rabba jaane main kya","AlkaYagnik,KumarSanu","AnandMilind","Sameer","Sanam",NA,1993
"1253",20,"Ye kaali kaali aankhein
  ye gorey gorey gaal","KumarSanu,AnuMalik,","AnuMalik","DevKohli","Baazigar",NA,1993
"1254",21,"Tujhe
  na dekhoon to chain mujhe aata nahin","AlkaYagnik,KumarSanu","NadeemShrawan","Sameer","Rang",NA,1993
"1255",22,"Chad
  gaya ooper re atariya pe lotan
  kabootar","IlaArun,BappiLahiri","BappiLahiri","MayaGovind","Dalaal",NA,1993
"1256",23,"Main
  tera aashiq hoon","RoopKumarRathore","LaxmikantPyarelal","AnandBakshi","Gumrah",NA,1993
"1257",24,"Dil
  hoom hoom kare ghabraye","LataMangeshkar","BhupenHazarika","Gulzar","Rudaali",NA,1993
"1258",25,"Paagal
  dil mera tumse ye keh raha","SPBalasubramaniam;AnuradhaPaudwal","AmarUtpal","RaniMalik","AajaMeriJaan",NA,1993
